Depth;POINTID;OC;TH_LAT;TH_LONG;SURVEY_DATE;Elev;LC0_Desc;LC1_Desc;LU1_Desc
0-10 cm;27842206;43.6;41.25214945;-8.46897261;04/05/18;199;Woodland;Broadleaved woodland;Forestry
0-10 cm;28322234;40.7;41.60096343;-7.983146225;27/07/18;1238;Shrubland;Shrubland without tree cover;Energy production
0-10 cm;28382160;31.8;40.96569098;-7.722229895;30/04/18;978;Woodland;Broadleaved woodland;Forestry
0-10 cm;28502212;41.8;41.44658272;-7.715523427;01/08/18;1079;Shrubland;Shrubland without tree cover;Agriculture (excluding fallow land and kitchen gardens)
0-10 cm;28661894;9.6;38.68398208;-6.765229741;07/08/18;343;Cropland;Triticale;Agriculture (excluding fallow land and kitchen gardens)
0-10 cm;28722000;12.4;39.63007069;-6.941258418;21/05/18;381;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45542782;68.5;48.10715459;13.12824574;01/06/18;447;Woodland;Broadleaved woodland;Forestry
0-20 cm;45542800;23.1;48.26894461;13.13825354;08/06/18;344;Shrubland;Shrubland with sparse tree cover;Road transport
0-20 cm;45602780;355.4;48.0868632;13.20757721;01/06/18;550;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45642800;12.2;48.26503952;13.27278879;08/06/18;375;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45682752;39.8;47.83201585;13.29850348;30/05/18;544;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45682788;208.1;48.15558658;13.31951703;07/06/18;552;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45702780;164.5;48.08287618;13.34162619;07/06/18;677;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;45722786;43.1;48.13598242;13.37201318;07/06/18;571;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45742754;39;47.84755543;13.37971804;30/05/18;670;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;45762794;11.8;48.2062195;13.4305462;07/06/18;463;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45782760;319.2;47.89982439;13.43670696;02/05/18;599;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45822828;243.9;48.50918011;13.5325144;18/06/18;479;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;45822832;4.2;48.54511792;13.53504861;21/05/18;455;Grassland;Spontaneously re-vegetated surfaces;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45842754;27.7;47.84336232;13.51312906;29/05/18;593;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45842800;18.4;48.25673808;13.54180049;14/06/18;431;Cropland;Common wheat;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45842808;16.3;48.32862057;13.54684775;18/06/18;436;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45902738;486.2;47.69697295;13.58310799;25/07/18;1051;Grassland;Grassland with sparse tree/shrub cover;Semi-natural and natural areas not in use
0-20 cm;45902768;23.8;47.9665807;13.60202602;29/05/18;496;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45922802;22.3;48.27120359;13.65068032;20/06/18;439;Cropland;Soya;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45962734;37.5;47.65838088;13.66035556;26/07/18;1026;Woodland;Broadleaved woodland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45962820;44.1;48.4311225;13.71639425;18/06/18;585;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45982782;118.7;48.08881509;13.71817178;04/06/18;469;Woodland;Broadleaved woodland;Forestry
0-20 cm;46002792;55.9;48.17775205;13.75161667;04/06/18;428;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;46042842;22.1;48.62505863;13.83945042;15/07/18;670;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46082830;22.3;48.51539121;13.88525065;18/06/18;599;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46102852;60.3;48.71203121;13.92778205;02/07/18;834;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;46142788;14.6;48.1352633;13.93676805;04/06/18;337;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46182828;30.8;48.4926105;14.01895007;14/07/18;553;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46202782;13.9;48.07846152;14.01298108;15/06/18;391;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46202812;12.9;48.34792763;14.03441481;18/06/18;261;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46222770;15.6;47.96968629;14.03122723;24/06/18;511;Cropland;Common wheat;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46222796;25.7;48.20323399;14.04980896;15/05/18;318;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46242762;34.8;47.89683666;14.05225383;23/06/18;752;Woodland;Spruce dominated mixed woodland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46262776;22.4;48.0216067;14.08902742;15/06/18;447;Cropland;Common wheat;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46262786;71;48.11142956;14.09626199;15/06/18;383;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;46322834;27.7;48.53946822;14.21256397;28/05/18;795;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46342786;12;48.1073876;14.2035016;04/06/18;298;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46382834;32.1;48.53635735;14.29367308;13/06/18;803;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46422762;145.4;47.88769893;14.29251583;04/06/18;491;Woodland;Other mixed woodland;Forestry
0-20 cm;46462834;36.2;48.53211737;14.40180412;17/06/18;696;Grassland;Grassland with sparse tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46482830;29.2;48.49512988;14.4256611;17/06/18;715;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46502766;40.3;47.91939113;14.40236944;19/06/18;644;Grassland;Grassland with sparse tree/shrub cover;Forestry
0-20 cm;46522836;67.2;48.54682264;14.48449934;02/07/18;670;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46562812;27;48.32916994;14.51914116;25/07/18;385;Bareland;Other bare soil;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46582774;35.2;47.98688891;14.51554383;18/05/18;544;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46602762;47.2;47.87803575;14.53269746;19/06/18;524;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;46642772;38.6;47.96560539;14.59413724;18/05/18;601;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46642802;49.9;48.23494302;14.61858827;02/07/18;237;Woodland;Broadleaved woodland;Forestry
0-20 cm;46682824;156.8;48.43015856;14.69067392;02/06/18;719;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;46742758;25.7;47.83424481;14.7161331;05/06/18;548;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;46822808;84.2;48.27840372;14.86554239;05/06/18;520;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;46902810;19.2;48.29155823;14.97484889;29/05/18;509;Cropland;Triticale;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45102682;14.5;47.2229502;12.49400769;30/05/18;1076;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45102684;67.8;47.24094208;12.49486781;30/05/18;1019;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45102688;39.5;47.27692529;12.49659032;09/07/18;787;Artificial land;Other artificial areas;Electricity, gas and thermal power distribution
0-20 cm;45122688;38;47.27631556;12.52299138;09/07/18;827;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45182728;69.3;47.63422172;12.62031964;28/05/18;1024;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;45222700;205.3;47.38110711;12.66050229;29/05/18;1017;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45242698;209.8;47.36246865;12.68602437;29/05/18;1391;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45242722;227;47.57832152;12.69724159;21/06/18;639;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45282706;62;47.43310202;12.74270783;21/06/18;873;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45342706;27.1;47.43107322;12.82213968;12/07/18;717;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45402772;62;48.0224279;12.93527024;01/06/18;448;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45442740;106.9;47.73328877;12.97206578;30/05/18;637;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;45442766;80.6;47.96704562;12.98566922;01/06/18;432;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45462760;25.6;47.91237505;13.00923883;01/06/18;657;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45462768;33.5;47.98429539;13.01348275;08/06/18;425;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45482700;62.4;47.37215918;13.00433319;22/05/18;1237;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45482768;28;47.98355852;13.04024258;01/06/18;630;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45502692;43;47.29948446;13.02658707;22/05/18;916;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45502702;16.8;47.38941082;13.03182701;22/05/18;1258;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45522750;49.2;47.82024887;13.08397959;30/05/18;576;Grassland;Spontaneously re-vegetated surfaces;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45542694;36.2;47.31598608;13.08046439;23/05/18;885;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45562730;50.7;47.63892917;13.12636451;22/05/18;466;Artificial land;Other artificial areas;Electricity, gas and thermal power distribution
0-20 cm;45562732;66.4;47.65691054;13.12745622;22/05/18;484;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;45582678;123.8;47.17059578;13.12465934;03/07/18;11369;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45582696;37.5;47.33246067;13.13437631;23/05/18;806;Grassland;Grassland with sparse tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45602672;78.1;47.11587638;13.14775102;03/07/18;1268;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45602698;57.4;47.34967968;13.16189214;23/05/18;1228;Grassland;Grassland with sparse tree/shrub cover;Forestry
0-20 cm;45602738;74.4;47.70931761;13.18396862;30/05/18;1036;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45622768;52.3;47.97821812;13.22754121;29/05/18;545;Grassland;Spontaneously re-vegetated surfaces;Forestry
0-20 cm;45642688;61.1;47.25821271;13.20920368;23/05/18;1202;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45642724;49.6;47.58189488;13.22929613;24/05/18;537;Woodland;Broadleaved woodland;Forestry
0-20 cm;45642750;85.8;47.8156297;13.24400882;30/05/18;672;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45662730;223.6;47.63504693;13.25925234;12/05/18;1507;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45782694;58.7;47.30654331;13.39739192;19/06/18;1036;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;45802718;75;47.52147178;13.43807033;24/05/18;927;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45842740;42.6;47.7175344;13.50451974;25/07/18;571;Woodland;Spruce dominated mixed woodland;Forestry
0-20 cm;45882676;107.9;47.1405132;13.51848206;19/06/18;1362;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;45922694;57.4;47.30060871;13.58221638;19/06/18;1402;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;46082678;98.4;47.14962803;13.78295124;14/06/18;1124;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;46122668;158.9;47.05789194;13.82901252;17/06/18;1258;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;46122678;110.3;47.14777814;13.83559313;17/06/18;1243;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;43482670;116.2;47.14297599;10.35566695;05/06/18;1410;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;43562686;296.5;47.28660578;10.46232067;01/06/18;1234;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;43662688;169.7;47.30396617;10.59461326;01/06/18;1334;Woodland;Other coniferous woodland;Forestry
0-20 cm;43702704;156.4;47.44767581;10.64926194;25/06/18;10943;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;43782660;65.2;47.05094152;10.74954668;27/06/18;11267;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;43782700;58.6;47.41099162;10.75473405;31/05/18;1385;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;43802684;143.5;47.26679362;10.7790551;25/06/18;781;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
