id,objectid,band,long,lat,read,map,map_rescaled
12513,693,02,4.2655441829302,39.40524309197311,18.22,1677,0.1677
16642,693,04,4.2655441829302,39.40524309197311,18.22,1430,0.143
8384,693,06,4.2655441829302,39.40524309197311,18.22,1374,0.1374
126,693,05,4.2655441829302,39.40524309197311,18.22,1427,0.1427
24900,693,11,4.2655441829302,39.40524309197311,18.22,1388,0.1388
20771,693,07,4.2655441829302,39.40524309197311,18.22,1410,0.141
4255,693,8A,4.2655441829302,39.40524309197311,18.22,1460,0.146
33158,693,08,4.2655441829302,39.40524309197311,18.22,1383,0.1383
29029,693,03,4.2655441829302,39.40524309197311,18.22,1515,0.1515
41416,693,05,4.2655441829302,39.40524309197311,18.22,1228,0.1228
37287,693,12,4.2655441829302,39.40524309197311,18.22,1430,0.143
45545,693,8A,4.2655441829302,39.40524309197311,18.22,1193,0.1193
78577,693,12,4.2655441829302,39.40524309197311,18.22,1173,0.1173
74448,693,08,4.2655441829302,39.40524309197311,18.22,1234,0.1234
62061,693,07,4.2655441829302,39.40524309197311,18.22,1186,0.1186
49674,693,06,4.2655441829302,39.40524309197311,18.22,1218,0.1218
66190,693,11,4.2655441829302,39.40524309197311,18.22,1194,0.1194
57932,693,04,4.2655441829302,39.40524309197311,18.22,1204,0.1204
70319,693,03,4.2655441829302,39.40524309197311,18.22,1289,0.1289
53803,693,02,4.2655441829302,39.40524309197311,18.22,1523,0.1523
49675,694,06,4.310963118679639,39.40459008768584,2.73,1218,0.1218
66191,694,11,4.310963118679639,39.40459008768584,2.73,1194,0.1194
53804,694,02,4.310963118679639,39.40459008768584,2.73,1523,0.1523
57933,694,04,4.310963118679639,39.40459008768584,2.73,1204,0.1204
70320,694,03,4.310963118679639,39.40459008768584,2.73,1289,0.1289
62062,694,07,4.310963118679639,39.40459008768584,2.73,1186,0.1186
29030,694,03,4.310963118679639,39.40459008768584,2.73,1515,0.1515
33159,694,08,4.310963118679639,39.40459008768584,2.73,1383,0.1383
41417,694,05,4.310963118679639,39.40459008768584,2.73,1228,0.1228
45546,694,8A,4.310963118679639,39.40459008768584,2.73,1193,0.1193
37288,694,12,4.310963118679639,39.40459008768584,2.73,1430,0.143
127,694,05,4.310963118679639,39.40459008768584,2.73,1427,0.1427
12514,694,02,4.310963118679639,39.40459008768584,2.73,1677,0.1677
8385,694,06,4.310963118679639,39.40459008768584,2.73,1374,0.1374
16643,694,04,4.310963118679639,39.40459008768584,2.73,1430,0.143
24901,694,11,4.310963118679639,39.40459008768584,2.73,1388,0.1388
20772,694,07,4.310963118679639,39.40459008768584,2.73,1410,0.141
4256,694,8A,4.310963118679639,39.40459008768584,2.73,1460,0.146
78578,694,12,4.310963118679639,39.40459008768584,2.73,1173,0.1173
74449,694,08,4.310963118679639,39.40459008768584,2.73,1234,0.1234
74450,695,08,3.9965450024038605,39.36987922793653,18.17,1234,0.1234
78579,695,12,3.9965450024038605,39.36987922793653,18.17,1173,0.1173
29031,695,03,3.9965450024038605,39.36987922793653,18.17,1515,0.1515
45547,695,8A,3.9965450024038605,39.36987922793653,18.17,1193,0.1193
33160,695,08,3.9965450024038605,39.36987922793653,18.17,1383,0.1383
37289,695,12,3.9965450024038605,39.36987922793653,18.17,1430,0.143
41418,695,05,3.9965450024038605,39.36987922793653,18.17,1228,0.1228
70321,695,03,3.9965450024038605,39.36987922793653,18.17,1289,0.1289
49676,695,06,3.9965450024038605,39.36987922793653,18.17,1218,0.1218
53805,695,02,3.9965450024038605,39.36987922793653,18.17,1523,0.1523
62063,695,07,3.9965450024038605,39.36987922793653,18.17,1186,0.1186
66192,695,11,3.9965450024038605,39.36987922793653,18.17,1194,0.1194
57934,695,04,3.9965450024038605,39.36987922793653,18.17,1204,0.1204
24902,695,11,3.9965450024038605,39.36987922793653,18.17,1388,0.1388
128,695,05,3.9965450024038605,39.36987922793653,18.17,1427,0.1427
16644,695,04,3.9965450024038605,39.36987922793653,18.17,1430,0.143
20773,695,07,3.9965450024038605,39.36987922793653,18.17,1410,0.141
8386,695,06,3.9965450024038605,39.36987922793653,18.17,1374,0.1374
4257,695,8A,3.9965450024038605,39.36987922793653,18.17,1460,0.146
12515,695,02,3.9965450024038605,39.36987922793653,18.17,1677,0.1677
16645,918,04,4.041462010776505,39.369878290418164,5.58,1430,0.143
24903,918,11,4.041462010776505,39.369878290418164,5.58,1388,0.1388
4258,918,8A,4.041462010776505,39.369878290418164,5.58,1460,0.146
8387,918,06,4.041462010776505,39.369878290418164,5.58,1374,0.1374
20774,918,07,4.041462010776505,39.369878290418164,5.58,1410,0.141
12516,918,02,4.041462010776505,39.369878290418164,5.58,1677,0.1677
129,918,05,4.041462010776505,39.369878290418164,5.58,1427,0.1427
33161,918,08,4.041462010776505,39.369878290418164,5.58,1383,0.1383
41419,918,05,4.041462010776505,39.369878290418164,5.58,1228,0.1228
29032,918,03,4.041462010776505,39.369878290418164,5.58,1515,0.1515
45548,918,8A,4.041462010776505,39.369878290418164,5.58,1193,0.1193
37290,918,12,4.041462010776505,39.369878290418164,5.58,1430,0.143
74451,918,08,4.041462010776505,39.369878290418164,5.58,1234,0.1234
78580,918,12,4.041462010776505,39.369878290418164,5.58,1173,0.1173
70322,918,03,4.041462010776505,39.369878290418164,5.58,1289,0.1289
66193,918,11,4.041462010776505,39.369878290418164,5.58,1194,0.1194
62064,918,07,4.041462010776505,39.369878290418164,5.58,1186,0.1186
57935,918,04,4.041462010776505,39.369878290418164,5.58,1204,0.1204
53806,918,02,4.041462010776505,39.369878290418164,5.58,1523,0.1523
