,band,long,lat,read,map,map_rescaled
0,05,-3.91873286,41.73085176,0.32699,2110,0.21100000000000002
1,05,-3.91834506,41.73013851,0.67152,2777,0.2777
2,05,-3.91734728,41.7300375,0.71113,3109,0.3109
3,05,-3.91355125,41.70718476,0.61188,6636,0.6636000000000001
4,05,-3.9133843,41.70818502,0.61188,5345,0.5345
5,05,-3.90769145,41.70919937,0.61188,4345,0.4345
6,05,-3.92701958,41.71001357,0.61188,6230,0.623
7,05,-3.90475685,41.70944733,0.61188,5004,0.5004000000000001
8,05,-3.9271941,41.71021026,0.61188,5877,0.5877
9,05,-3.90961983,41.70975222,0.61188,3896,0.3896
10,05,-3.89754049,41.71053203,0.61188,3336,0.3336
11,05,-3.92773778,41.70973031,0.61188,13850,1.385
12,05,-3.89695669,41.7111693,0.61188,3033,0.3033
13,05,-3.89769626,41.71158331,0.61188,2999,0.2999
14,05,-3.90751028,41.71047572,0.61188,5160,0.516
15,05,-3.89925835,41.71156477,0.61188,2102,0.2102
16,05,-3.89751342,41.71229322,0.61188,3441,0.3441
17,05,-3.89878499,41.7124874,0.61188,2850,0.28500000000000003
18,05,-3.89877117,41.71257057,0.61188,2643,0.26430000000000003
19,05,-3.89950133,41.71257744,0.61188,1925,0.1925
20,05,-3.89875735,41.7126537,0.61188,2643,0.26430000000000003
21,05,-3.89875793,41.71275576,0.61188,2749,0.27490000000000003
22,05,-3.89972496,41.71301114,0.61188,1921,0.19210000000000002
23,05,-3.89849293,41.71247932,0.61188,2624,0.2624
24,05,-3.90445892,41.71162082,0.61188,3011,0.30110000000000003
25,05,-3.8964901,41.71432394,0.61188,5420,0.542
26,05,-3.90109871,41.71727523,0.61188,1725,0.17250000000000001
27,05,-3.91268556,41.71841325,0.61188,1964,0.19640000000000002
28,05,-3.91224208,41.71862579,0.61188,2338,0.2338
29,05,-3.89930896,41.71793546,0.61188,1821,0.1821
30,05,-3.91317599,41.71947876,0.61188,1739,0.1739
31,05,-3.91153006,41.71926252,0.61188,2595,0.2595
32,05,-3.91073781,41.71983946,0.61188,2310,0.231
33,05,-3.90185583,41.71899738,0.61188,2089,0.2089
34,05,-3.9456566,41.71897697,0.61188,1920,0.192
